chile 	child
the the	the
universit's	university's
?what	what
whos	whose
Wo which	which
What'S	what
Amongst	Amongst
Whichi	Which
Which	Which
Whichd	Which
Whci	Which
foundeer	founder
aldo	also
a defencemen	a defenceman
cport	sport
genere	genre
Whichlocation	Which location
palce	place
achipelago	archipelago
Whihc	Which
Fuountain Lake	Fountain Lake
movies's	movies'
ethinicity	ethnicity
Inductrial	Industrial
one of the city	one of the cities
manger	manager
Middlebrough 	Middlesbrough
governer  	governor
anad  	and
oregon	Oregon
ascented	ascended
Yokkohama	Yokohama
Nationaal	National
relegion	religion
memebers	members
licence	license
countires	countries
nad 	and
loocation	location
wich 	which
palyed	played
the the	the
the The	The
operataed	operated
palce	place
plce	place
ppolitical	political
universit's	university's
atleast	at least
New york	New York
appinter	appointer
alongwith	along with
Tenessee	Tennessee
royalties's	royalties'
sepulchre	sepulcher
neighbouring	neighboring
origin od	origin of
headquarterd	headquartered
hasa	has a
electoin	election
alumini	alumni
cities's	cities'
onwed	owned
Which	Which
Wha 	What
Whay	Which
Which	Which
hasa	has
wass	was
ppolitical	political
nad	and
anad	and
Whichlocation	Which location
isPyChess	is PyChess
isalso	is also
1956 amd 1948	1956 and 1948
a aprt	a part
a places	a place
abotu	about
acrtess	actress
Ahmaric	Amharic
ALbum	Album
atten college	attend college
Austira	Austria
Beccause	Because
boarder	border
buidlings	buildings
Cananda	Canada
capitol of	capital of
casuailties	casualties
casualities	casualties
celebtiries	celebrities
characater	character
charactor	character
charcter	character
combattants	combatants
commerical	commercial
contonental	continental
corssing	crossing
countains	contains
country uss the Swiss Franc	country uses the Swiss Franc
cuntry	country
currancy	currency
currenty language	currently language
currnecy	currency
describtion	description
devision	division
drirected	directed
Dumbledor 	Dumbledore
DUmbledore	Dumbledore
earlies	earliest
Euro was adapted	Euro was adopted
facitity	facility
featued	featured
featueed	featured
feautre	feature
fictional workd	fictional world
flim	film
Footbal player	Football player
Franch	France
GDP eflator	GDP deflator
germanic language	Germanic language
governent	government
governer	governor
happed	happened
has bee in	has been in
have did	have done
hournal	journal
Iclandic	Icelandic
imported form	imported from
incldue	include
incllude	include
incluede	include
inlcude	include
inspriational	inspirational
insripation	inspiration
int he	in the
is name Hank	is named Hank
Janaury	January
Jersulam	Jerusalem
Jesusalem	Jerusalem
languiages	languages
largre	large
locate din	located in
locatiuon	location
lyracist	lyricist
mechandise	merchandise
membner 	member
monetay	monetary
movies hs Ron Howard	movies has Ron Howard
moviews	movies
nationalilty	nationality
nominiated	nominated
occured	occurred
organiation	organization
Orgin	Origin
originaly	originally
pacticing	practicing
Parliment	Parliament
parter	partner
particpant	participant
Percy Jackson & the Olumpians	Percy Jackson & the Olympians
person who been	person who has been
poisition	position
politicains	politicians
politican	politician
polotical	political
poltical	political
position form	position from
positon	position
practicinf	practicing
Presidnet	President
principle	principal
producted	produced
recieved	received
releaed	released
religions iare	religions are
religous	religions
Rome is have	Rome is having
stared in the TV	starred in the TV
starrted	started
Statford Northwestern Secondary school	Stratford Northwestern Secondary school
symbol that were adapted	symbol that were adopted
teh Acting President	the Acting President
teh character	the character
Tennessee WIlliams	Tennessee Williams
th country	the country
tha tplayed	that played
that that	that
the a kid	the kid
the the	the
the United Stated	the United States
throgh	through
throuhg	through
timeone	timezone
tnure	tenure
United State Congress	United States Congress
Univeristy	university
univers 	universe
university wer 	university were
use din	used in
utilie	utilize
was do	was done
wen tot	went to
Whaich	Which
WHat	What
What filem	What film
What id the	What is the
Whata movie	What movie
whch	which
Whic film	Which film
who founde	who founded
Whos is	Who is
What the currency of the country	What's the currency of the country
played the a kid	played the kid
What languiages are spoken	What languages are spoken
who founde New York University	who founded New York University
Portuguese=speaking	Portuguese-speaking
in Jesusalem	in Jerusalem
What the Dominican Republic a part of	What's the Dominican Republic a part of
a aprt of	a part of
charcter	character
What the major language	What's the major language
Statford Northwestern Secondary	Stratford Northwestern Secondary
id Scarlett Johansson date	is Scarlett Johansson date
the United Stated	the United States
locate din Oceania,	located in Oceania,
the earlies movie	the earliest movie
Schoool	School